0, 1, 0, 86, 3, 1, 3, 1, 2, 3, 1, 1,0 , 3, 05db9164, 0468d672, c725873a, d0189e5a, 25c83c98, fbad5c96, 2e62d414, 0b153874, a73ee510, fa303997, 258875ea, 49fee879, dcc8f90a, 1adce6ef, bcdada2d, 3b87fa92, d4bb7bd8, 124c6b00, 21ddcdc9, 5840adea, d90f665b,0 , 32c7478e, 6c1cdd05, ea9a246c, 4e7af834
1, 2, 499, 2, 2, 10, 2, 7, 2, 9, 1, 2,0 , 2, 8cf07265, 4f25e98b, 73488928, 04cfbe8d, 43b19349, 7e0ccccf, 1c63b114, 5b392875, a73ee510, 4ba9b410, 67841877, bd1b3730, 781f4d92, b28479f6, 8ab5b746, eb4bd01a, e5ba7672, 7ef5affa, c4209246, a458ea53, 38c7cbd9,0 , 3a171ecb, 6eb90d9e, e8b83407, 75f0a4b2
0,0 , 4,0 , 8, 191, 306, 0, 21, 20,0 , 0,0 , 20, 87552397, 68aede49, d073fc8b, 3eeb2408, b2241560, fe6b92e5, 9b98e9fc, 1f89b562, a73ee510, f6f942d1, 7f8ffe57, 9bfc66f9, 46f42a63, 07d13a8f, 8dbc001a, 43a3bbc3, d4bb7bd8, 262c8681,0 ,0 , c66b1b65, c9d4222a, 32c7478e, cc80b3be,0 , 
0, 0, 38, 3, 4, 2884, 154, 32, 13, 1199, 0, 12, 0, 13, 87552397, 38a947a1,0 ,0 , 25c83c98, 7e0ccccf, bb3b7ab9, 0b153874, a73ee510, 3b08e48b, 90b202b5,0 , 3a9dafb8, 07d13a8f, f9fbbd0a,0 , 27c07bd6, 23fb8a75,0 ,0 ,0 , c9d4222a, 3a171ecb,0 ,0 , 
0,0 , 1, 17, 31, 30, 198, 2, 38, 67,0 , 1,0 , 31, 68fd1e64, 0a519c5c, b00d1501, d16679b9, b2241560, 7e0ccccf, ce813de3, 5b392875, a73ee510, 3b08e48b, 13754a9c, e0d76380, 5d111255, b28479f6, 7f6af6b0, 1203a270, d4bb7bd8, eea3ab97,0 ,0 , 73d06dde,0 , 3a171ecb, aee52b6f,0 , 
0,0 , -1, 3, 9, 1614, 19, 1, 18, 19,0 , 1,0 , 9, 68fd1e64, d833535f, ad4b77ff, d16679b9, 25c83c98, fe6b92e5, 9963c37d, 0b153874, a73ee510, d2f1c80c, 9a024337, a2f4e8b5, 7a7b8db5, b28479f6, a66dcf27, 89052618, d4bb7bd8, 7b49e3d2,0 ,0 , d4703ebd,0 , 32c7478e, aee52b6f,0 , 
1,0 , 125,0 ,0 , 5849, 39, 7, 0, 16,0 , 2, 0,0 , 9a89b36c, 86d4fccc, e8bb07ec, a754f0ee, 25c83c98, fe6b92e5, 329db1e1, 0b153874, a73ee510, f7a23f77, 69753b72, 608acd54, b0ff1de2, b28479f6, 837782ed, 1174f1ac, 3486227d, e727949e, 21ddcdc9, 5840adea, fbb27a1f, ad3062eb, 3a171ecb, 3b183c5c, 001f3601, fb7edec8
0, 2, -1,0 ,0 , 1378, 104, 4, 6, 126, 0, 2,0 ,0 , 439a44a4, 62e9e9bf,0 ,0 , 30903e74, fbad5c96, 09e42cac, 0b153874, a73ee510, 3753b9eb, 30b2a438,0 , aebdb575, 07d13a8f, de829bed,0 , e5ba7672, d2651d6e,0 ,0 ,0 , ad3062eb, 32c7478e,0 ,0 , 
0, 0, 1, 3, 14, 1654, 82, 12, 7, 321, 0, 5, 0, 37, 5a9ed9b0, 95e2d337, e52599a1, f808ee1e, 25c83c98, fbad5c96, ac2d4799, 5b392875, a73ee510, 947f106c, 434d6c13, 5553412e, 7301027a, 07d13a8f, 4e505ea3, 07f7b899, e5ba7672, 7b06fafe, f30f7842, a458ea53, 3b461f85,0 , c7dc6720, 727923fa, 2bf691b1, 4ca64076
0,0 , 387,0 , 1, 5872, 27, 16, 6, 136,0 , 6, 0, 5, 05db9164, 2c16a946, 2bbfd583, 404d658e, 25c83c98,0 , 7f9907fe, 966033bc, a73ee510, 35acd07e, a7b606c4, 5b416423, eae197fd, 07d13a8f, e083c32b, 27e8455b, 27c07bd6, 96af95cc,0 ,0 , e4fffdf3,0 , 32c7478e, 9117a34a,0 , 
0,0 , 49,0 , 6, 22451, 510, 213, 1, 1170,0 , 6,0 , 6, 291b7ba2, ef69887a, 886a27dc, 267f9271, 25c83c98, 7e0ccccf, ceadc1bd, 233428af, a73ee510, 3b08e48b, 1d7bf26b, 75c7ffa6, 2f83c4ea, 07d13a8f, b98be2c0, 688bad7c, e5ba7672, 4bcc9449, 21ddcdc9, a458ea53, 637001d4,0 , 3a171ecb, dc180fee, e8b83407, c3cca2a9
0,0 , 0, 1,0 ,0 ,0 , 0, 1, 15,0 , 0,0 ,0 , 05db9164, 38a947a1, c7cac1c4, f97061f8, 307e775a, fbad5c96, bca35340, 1f89b562, a73ee510, 3b08e48b, bbf9c1a0, 78458b47, a3fda569, b28479f6, b2d67838, 8351b996, 2005abd1, 166a4729,0 ,0 , f669e8c8,0 , be7c41b4, d3d40c0b,0 , 
0, 0, 0, 2, 6, 7776, 198, 15, 14, 536, 0, 3,0 , 12, 05db9164, 4f25e98b, f57af38a, eccfc6f6, 4cf72387, 13718bbd, 0c41b6a1, 0b153874, a73ee510, 4f11d1f4, 4ba74619, 35371e22, 879fa878, cfef1c29, dddd963f, 87586523, e5ba7672, 7ef5affa, 2b558521, a458ea53, e9eb79d5,0 , 423fab69, 54a607b7, 001f3601, 60c0b98e
0, 0, 339, 48, 1, 3019, 207, 1, 6, 9, 0, 1,0 , 5, 68fd1e64, 38a947a1, 91ca0f1d, 557036ce, 4cf72387, 7e0ccccf, 1c63b114, 0b153874, a73ee510, 3d8bc3c8, 67841877, 74cafd4c, 781f4d92, b28479f6, a5118040, b4de62ad, e5ba7672, b6b880ec,0 ,0 , 7335e6d5,0 , 3a171ecb, 8f282db5,0 , 
0,0 , 0, 1, 3, 4219,0 , 0, 7, 66,0 , 0,0 , 4, 68fd1e64, 38a947a1, 4470baf4, 8c8a4c47, 25c83c98, 7e0ccccf, 38377571, 0b153874, a73ee510, 3b08e48b, f61e81dd, bb669e25, c6881550, b28479f6, d22224d7, 2b2ce127, 776ce399, ade68c22,0 ,0 , 2b796e4a,0 , 423fab69, 8d365d3b,0 , 
0, 1, 2, 2, 2, 292, 2, 1, 2, 2, 1, 1,0 , 2, 05db9164, 0a519c5c, b00d1501, d16679b9, 25c83c98, 7e0ccccf, 1683df22, 0b153874, a73ee510, 3b08e48b, 89073265, e0d76380, 8b266858, b28479f6, b760dcb7, 1203a270, d4bb7bd8, 2efa89c6,0 ,0 , 73d06dde,0 , 3a171ecb, aee52b6f,0 , 
0,0 , 1094,0 ,0 ,0 ,0 , 0, 2, 2,0 , 0,0 ,0 , 05db9164, d833535f, b00d1501, d16679b9, 25c83c98, 7e0ccccf, 970f01b2, 0b153874, 7cc72ec2, 3b08e48b, 36bccca0, e0d76380, 80467802, b28479f6, a733d362, 1203a270, 2005abd1, 281769c2,0 ,0 , 73d06dde,0 , bcdee96c, aee52b6f,0 , 
0,0 , 2, 6, 2, 13597,0 , 0, 8, 192,0 , 0,0 , 6, 68fd1e64, 0aadb108, c798ded6, 91e6318a, 43b19349, fe6b92e5, 57b4bd89, 0b153874, a73ee510, 3b08e48b, 71fd20d9, 1b2022a0, ddd66ce1, 07d13a8f, 815790d1, b74e1eb0, 776ce399, 7ce63c71,0 ,0 , af5dc647, c9d4222a, 3a171ecb, 1793a828,0 , 
0,0 , -1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , 68fd1e64, 38a947a1,0 ,0 , 25c83c98, 7e0ccccf, 970f01b2, 0b153874, 7cc72ec2, 3b08e48b, 36bccca0,0 , 80467802, 1adce6ef, cbbe08bc,0 , 2005abd1, b4270c3a,0 ,0 ,0 ,0 , bcdee96c,0 ,0 , 
0, 3, 1, 10, 11, 56, 12, 3, 12, 13, 1, 1,0 , 10, 05db9164, 09e68b86, b2b62cd9, 05bfe484, 25c83c98, fe6b92e5, 26a81064, c8ddd494, a73ee510, dcbc7c2b, 9e511730, 73b54fcb, 04e4a7e0, 07d13a8f, 36721ddc, 4d34cbfa, 07c540c4, 5aed7436, 21ddcdc9, b1252a9d, d64929ca,0 , 3a171ecb, 3fdb382b, e8b83407, 9d5c0f41
1,0 , 1, 1,0 ,0 ,0 , 0, 15, 53,0 , 0,0 ,0 , 05db9164, 38a947a1, 517bfe1c, 1ceec30c, 25c83c98, fbad5c96, ce8217f8, 0b153874, 7cc72ec2, 3b08e48b, 9d12ce9b, c504cddb, 9dfda2b9, b28479f6, 033862ee, 38e9704f, 2005abd1, c04654d0,0 ,0 , f52f289f,0 , be7c41b4, e7d518ab,0 , 
1, 0, 73, 48,0 , 2851, 23, 18, 0, 4, 0, 2,0 ,0 , 41edac3d, a07503cc, bf01f32e, 13508380, 25c83c98, 7e0ccccf, d7ea84dc, 0b153874, a73ee510, d9b71390, 6939835e, 2755cdd6, dc1d72e4, 07d13a8f, 77660bba, 2e475b25, e5ba7672, 912c7e21, 2b558521, b1252a9d, ae65f7de,0 , 32c7478e, 45ab94c8, 445bbe3b, c84c4aec
0, 0, 5, 17, 5, 6336, 936, 5, 5, 522, 0, 3, 0, 5, 05db9164, 7f068eee, 6947af7f, e566ddbe, 25c83c98, fbad5c96, 0f13229f, 0b153874, a73ee510, 9343fa06, 17586bd8, 18022c81, 4c9ff09f, 07d13a8f, 54971505, 5bb46f4e, e5ba7672, 6ef5c311,0 ,0 , cd64c25c,0 , 423fab69, 6870b565,0 , 
0, 7, -1, 2, 4, 50, 4, 7, 4, 4, 1, 1,0 , 4, 8cf07265, 287130e0, 052d55a2, 79dcd314, 25c83c98,0 , 03dda6cf, 5b392875, a73ee510, 87237511, 3289d3e1, c8abf6a5, 5a777c73, b28479f6, 9efd8b77, 573a1f14, e5ba7672, 891589e7, 21ddcdc9, a458ea53, cd162315,0 , bcdee96c, 3fdb382b, ea9a246c, 49d68486
1,0 , 6,0 ,0 , 12260, 76, 8, 0, 13,0 , 2, 0,0 , 5bfa8ab5, f6f4fe4b,0 ,0 , 25c83c98, fbad5c96, 412cb2ce, 5b392875, a73ee510, 993d4041, b9ec9192,0 , df5886ca, b28479f6, df360709,0 , 3486227d, c587eafc,0 ,0 ,0 , ad3062eb, 32c7478e,0 ,0 , 
1, 13, 1, 1,0 , 1346, 1, 77, 3, 355, 0, 6, 0,0 , 05db9164, 403ea497, 2cbec47f, 3e2bfbda, 25c83c98, 7e0ccccf, f44a6a1c, 0b153874, a73ee510, 3b08e48b, 6ad82a5d, 21a23bfe, 9999f835, 07d13a8f, e3209fc2, 587267a3, 27c07bd6, a78bd508, 21ddcdc9, 5840adea, c2a93b37,0 , 32c7478e, 1793a828, e8b83407, 2fede552
0,0 , 11,0 , 0, 0,0 , 0, 0, 0,0 , 0,0 , 0, 8cf07265, 13f25995, daf652b9, 35d9e6fe, 25c83c98, 7e0ccccf, 9b98e9fc, 37e4aa92, a73ee510, 49d1ad89, 7f8ffe57, 06cf9db9, 46f42a63, b28479f6, eb0f6b30, 1a190c21, d4bb7bd8, c7cf2414,0 ,0 , 4457c150, c9d4222a, 32c7478e, 4fe18e82,0 , 
0, 3, 0, 89, 5, 0, 0, 22, 5, 220, 1, 7,0 , 0, 5a9ed9b0, bc84a2bc, dd17c91c, 82a61820, 25c83c98, fbad5c96, a4756aa0, 0b153874, a73ee510, 2f0da49f, 3bfee234, 75529ad8, 888b8320, 07d13a8f, 131566f7, 5eea53aa, e5ba7672, d632055f, 21ddcdc9, 5840adea, 0f78ab39, ad3062eb, 93bad2c0, cafb4e4d, ea9a246c, 99f4f64c
0,0 , 2, 2, 3, 43608,0 , 0, 4, 4,0 , 0,0 , 3, 68fd1e64, 097e9399, 77f2f2e5, d16679b9, 25c83c98, fbad5c96, b06857f8, 0b153874, a73ee510, 3b08e48b, e4eb05d4, 9f32b866, a4c5d6dd, b28479f6, 1718dff1, 31ca40b6, 776ce399, 97029569, 21ddcdc9, b1252a9d, dfcfc3fa,0 , 3a171ecb, aee52b6f, 2bf691b1, f8d62db8
0,0 , 3, 20, 5, 6647, 309, 80, 21, 307,0 , 5, 0, 5, be589b51, dde11b16, a5df741a, 383f4bf9, 25c83c98, fbad5c96, 00ee719f, 0b153874, a73ee510, c5374647, d4a6e08f, b0edf2b6, 5ba7dfaa, b28479f6, 53c5f305, 6cdb9c79, 3486227d, 43dfe9bd,0 ,0 , 82e7d752,0 , 32c7478e, 766edd56,0 , 
0, 2, 21, 8, 8, 1362, 30, 44, 35, 67, 0, 7, 0, 18, 05db9164, 38a947a1, 77f2f2e5, d16679b9, 4ea20c7d, fbad5c96, 3f4ec687, 0b153874, a73ee510, 0e9ead52, c4adf918, 9f32b866, 85dbe138, 07d13a8f, 6e897ecc, 31ca40b6, 8efede7f, a4dd5669,0 ,0 , dfcfc3fa,0 , 32c7478e, aee52b6f,0 , 
0, 30, -1, 5, 1, 64, 1, 138, 1, 72, 2, 32,0 , 1, 5a9ed9b0, 287130e0, 4c855e25, d02ba8fa, 25c83c98, 6f6d9be8, a2152621, 37e4aa92, a73ee510, 1e2e737f, cebf7e5e, 9fd03f62, d3b3cfc1, 07d13a8f, 10040656, a8d4711a, e5ba7672, 891589e7, 9653bb65, a458ea53, 972d4080,0 , 32c7478e, 3fdb382b, e8b83407, 49d68486
1,0 , 12, 11, 35, 0,0 , 0, 45, 53,0 , 0,0 , 2, 8cf07265, 38a947a1, d125aecd, 82a61820, 25c83c98, 7e0ccccf, 69db5ac9, 985e3fcb, a73ee510, 3b08e48b, 68467f7a, 49507531, 61e43922, 07d13a8f, bb1e9ca8, 0fd6d3ca, 776ce399, e96a7df2,0 ,0 , 7eefff0d,0 , be7c41b4, cafb4e4d,0 , 
0, 0, 1, 69, 14, 1465, 262, 5, 8, 204, 0, 1,0 , 161, 17f69355, 6496eea0, 74e1a23a, 9a6888fb, 384874ce, 7e0ccccf, ee065f9d, 0b153874, a73ee510, 7cbe7db7, b5565b1c, fb8fab62, 406194ca, b28479f6, 856048a0, c6b1e1b2, e5ba7672, fba30a05, 21ddcdc9, 5840adea, 99c09e97,0 , 32c7478e, 335a6a1e, ea9a246c, d15c0cc8
0,0 , 44,0 , 5, 17928,0 , 0, 47, 403,0 , 0,0 , 18, 05db9164, 0a519c5c, b00d1501, d16679b9, 43b19349, fbad5c96, 7a019822, 1f89b562, a73ee510, 3b08e48b, 0a8f4121, e0d76380, c8dca410, b28479f6, 7f6af6b0, 1203a270, 1e88c74f, eea3ab97,0 ,0 , 73d06dde,0 , be7c41b4, aee52b6f,0 , 
0,0 , 0, 9, 11, 4762, 17, 1, 19, 30,0 , 1, 0, 11, 5a9ed9b0, 26ece8a8, 6965a5af, 1e0ec6a2, 25c83c98, fe6b92e5, fc19bfad, 1f89b562, a73ee510, e6e5a83e, 3bcfd189, d94d8f67, 077640f4, 07d13a8f, 102fc449, d0b4477d, e5ba7672, 87fd936e,0 ,0 , 04edac26, ad3062eb, 423fab69, 5a456be6,0 , 
0,0 , 6, 28, 13, 15,0 , 0, 13, 33,0 , 0,0 , 12, 05db9164, b56822db, 7da86e4b, b733e495, 25c83c98, 7e0ccccf, e702f4b9, 5b392875, a73ee510, f1311559, 2bcfb78f, ed397d6b, e6fc496d, b28479f6, a9d1ba1a, 056d8866, 1e88c74f, 38dce391, 21ddcdc9, b1252a9d, deaf6b52,0 , 32c7478e, d9556584, 001f3601, 6c27a535
